QO,QW,V4,V5,NP,WP
0,0,0,0,0,0
1998,0,221228,1998,61938,0
2015,0,215295,2015,124403,0
1934,0,219341,1934,182423,0
2014,0,217558,2014,244857,0
1975,0,216511,1975,304107,0
3376,0,393390,3376,408763,0
3224,0,361397,3224,508707,0
3254,0,370804,3254,599819,0
5096,0,588962,5096,757795,0
3254,0,354493,3254,855415,0
3024,0,358599,3024,949159,0
5093,0,562438,5093,1101949,0
5033,31,582392,5064,1257972,961
6877,71,765754,6948,1471159,3162
6593,93,719360,6686,1668949,5952
6256,132,707578,6388,1862885,10044
0,0,0,0,1862885,10044
0,0,0,0,1862885,10044
0,0,0,0,1862885,10044
0,0,0,0,1862885,10044
6182,139,700122,6321,2054527,14353
5738,163,649279,5901,2226667,19243
5246,190,590650,5436,2389293,25133
4930,200,551650,5131,2537193,31133
4484,211,526696,4695,2676197,37674
4003,210,467574,4213,2800290,44184
3650,176,408406,3826,2909790,49464
3303,170,368034,3473,3012183,54734
2897,141,314134,3038,3099093,58964
2814,143,298762,2958,3186327,63397
2482,117,273025,2599,3263269,67024
2235,119,243962,2354,3328084,70475
2091,102,232365,2193,3392905,73637
2084,104,219529,2188,3455425,76757
1895,103,209136,1997,3514170,79950
1830,94,204215,1925,3569070,82770
1706,81,189776,1788,3621956,85281
1733,83,183395,1816,3675679,87854
1602,81,173269,1683,3723739,90284
1538,81,173885,1619,3771417,92795
1501,69,169952,1570,3816447,94865
1458,73,155927,1530,3861645,97128
1277,68,141330,1346,3901232,99236
1226,63,133848,1289,3935560,101000
1327,74,151863,1400,3976697,103294
1329,65,145960,1395,4016567,105244
1272,72,140508,1344,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
0,0,0,0,4055999,107476
413,0,47261,413,4068802,107476
1014,42,110997,1057,4100236,108778
1282,51,138892,1333,4138696,110308
1282,52,140336,1334,4178438,111920
1271,56,131970,1326,4216568,113600
1351,55,145428,1406,4258449,115305
2717,56,289997,2773,4342676,117041
2449,62,267219,2511,4411248,118777
2672,68,278230,2739,4494080,120885
4769,76,542010,4845,4637150,123165
5036,72,560003,5108,4793266,125397
5370,81,589697,5451,4954366,127827
7968,93,912371,8061,5201374,130710
9359,125,1043896,9484,5491503,134585
10402,157,1205016,10559,5803563,139295
11320,188,1285148,11508,6154483,145123
11745,228,1309799,11973,6506833,151963
12051,351,1363877,12402,6880414,162844
14053,453,1561414,14506,7316057,176887
13880,540,1571100,14420,7718577,192547
15217,510,1698255,15727,8190304,208357
14979,481,1706786,15460,8639674,222787
15191,407,1703246,15598,9110595,235404
15178,368,1696168,15545,9565935,246444
15193,262,1714736,15456,10036918,254566
15192,316,1739737,15508,10507870,264362
14946,377,1738799,15323,10956250,275672
15051,477,1690189,15527,11422831,290459
14741,798,1622182,15539,11865061,314399
14205,1178,1649297,15383,12305416,350917
13923,1709,1558364,15632,12737029,403896
13732,1688,1547521,15420,13121525,451160
14016,1360,1594003,15377,13556021,493320
13779,1396,1599076,15175,13969391,535200
13854,1740,1575920,15593,14398865,589140
13440,1961,1525742,15401,14802065,647970
13378,1964,1512430,15342,15216783,708854
13210,2209,1510747,15419,15626293,777333
13418,2363,1516923,15781,16028833,848223
13019,2538,1469662,15558,16432422,926901
12912,2617,1463056,15529,16819782,1005411
12834,2616,1458201,15450,17217636,1086507
12876,2668,1452992,15544,17616792,1169215
12707,2777,1440452,15484,17972588,1246971
12540,2898,1412956,15438,18361328,1336809
12212,2993,1428512,15205,18727688,1426599
0,0,0,0,18727688,1426599
0,0,0,0,18727688,1426599
13140,2528,1469059,15669,19135028,1504967
12184,3282,1366232,15466,19512732,1606709
11824,3704,1304741,15528,19867452,1717829
11478,4069,1307308,15547,20223270,1843968
11262,4274,1269330,15536,20561130,1972188
11030,4437,1258458,15467,20903060,2109735
10785,4731,1225017,15516,21237395,2256396
10708,4758,1220039,15466,21537219,2389620
10371,5047,1194902,15418,21858720,2546077
10246,5131,1180056,15377,22166100,2700007
10271,5489,1116510,15760,22484501,2870166
9882,5525,1108793,15407,22780961,3035916
9648,5733,1109624,15381,23080049,3213639
8775,6844,1003383,15618,23352074,3425803
8751,6778,974333,15529,23614604,3629143
9490,6095,1049126,15585,23908794,3818088
9465,6037,1082433,15503,24192744,3999198
9179,6289,1054278,15468,24477293,4194157
9053,6446,986609,15498,24757936,4393983
9116,6552,1003676,15668,25022300,4583991
9090,6635,1013683,15725,25304090,4789676
8777,6738,997947,15516,25567400,4991816
8549,6933,973332,15482,25832419,5206739
