days	QW	BHP
2436	0	267
2465	2242	343
2496	1924	349
2526	1599	348
2557	1694	353
2587	1588	348
2618	1678	351
2649	1727	352
2679	1649	348
2710	1597	349
2740	1522	348
2771	1451	347
2802	1522	353
2830	1380	349
2861	1417	353
2891	1349	353
2922	1070	347
2952	914	349
2983	920	349
3014	979	348
3044	977	347
3075	1064	352
3105	1003	349
3136	982	348
3167	950	347
3195	987	350
3226	973	350
3256	905	348
3287	0	330
3317	0	322
3348	1663	353
3379	1086	347
3409	1097	353
3440	936	348
3470	967	352
3501	842	347
3532	823	348
3560	863	352
3591	767	347
3621	783	349
3652	774	349
3682	729	348
3713	704	347
3744	724	349
3774	776	351
3805	739	348
3835	759	351
3866	737	351
3897	676	348
3926	0	331
3957	956	352
3987	697	349
4018	694	350
