days	QO	QW	QG	BHP	LiquidRate
30	0	0	0	324	0
61	1998	0	221228	256	1998
92	2015	0	215295	262	2015
122	1934	0	219341	248	1934
153	2014	0	217558	249	2014
183	1975	0	216511	247	1975
214	1992	0	224403	250	1992
245	1954	0	224038	236	1954
273	2062	0	229989	241	2062
304	1956	0	223969	230	1956
334	2039	0	227869	225	2039
365	1944	0	237717	226	1944
395	1988	0	221517	216	1988
426	2071	0	239728	217	2071
457	1991	0	228025	219	1991
487	2035	0	218559	196	2035
518	2059	0	233502	197	2059
548	0	0	0	253	0
579	0	0	0	266	0
610	0	0	0	253	0
638	0	0	0	263	0
669	1989	0	224396	199	1989
699	2056	0	234495	189	2056
730	1722	0	208423	182	1722
760	1608	0	174429	186	1608
791	1401	0	161764	187	1401
822	1251	0	151012	196	1251
852	1134	0	131236	187	1134
883	1059	0	119475	185	1059
913	868	0	98035	194	868
944	880	0	95274	189	880
975	785	0	88106	183	785
1004	693	0	76837	182	693
1035	616	0	71147	189	616
1065	643	0	66860	187	643
1096	550	0	63328	194	550
1126	566	0	61378	196	566
1157	475	0	57012	184	475
1188	504	0	55432	186	504
1218	459	0	53319	183	459
1249	432	0	47966	195	432
1279	468	0	49329	187	468
1310	442	0	46828	197	442
1341	413	0	45154	183	413
1369	422	0	43054	192	422
1400	354	0	43224	198	354
1430	358	0	42172	185	358
1461	358	0	41884	195	358
1491	0	0	0	203	0
1522	0	0	0	208	0
1553	0	0	0	206	0
1583	0	0	0	193	0
1614	0	0	0	197	0
1644	0	0	0	207	0
1675	0	0	0	205	0
1706	0	0	0	194	0
1734	0	0	0	207	0
1765	0	0	0	201	0
1795	0	0	0	201	0
1826	0	0	0	204	0
1856	0	0	0	209	0
1887	413	0	47261	194	413
1918	396	0	43084	196	396
1948	368	0	39251	191	368
1979	372	0	37234	196	372
2009	360	0	35840	194	360
2040	444	0	43826	197	444
2071	588	0	65604	188	588
2099	661	0	71686	195	661
2130	798	0	83188	194	798
2160	862	0	101002	189	862
2191	962	0	111415	193	962
2221	1137	0	133149	196	1137
2252	1413	0	164253	187	1413
2283	1582	0	193174	184	1582
2313	1763	0	200194	183	1763
2344	1933	0	217696	183	1933
2374	1953	1	209270	184	1954
2405	1934	18	206242	189	1952
2436	1811	41	204060	184	1852
2465	1724	56	204253	187	1780
2496	1775	72	204075	183	1848
2526	1671	80	199189	190	1751
2557	1483	72	182085	187	1554
2587	1040	64	109456	216	1104
2618	493	40	56238	229	534
2649	547	50	63984	238	597
2679	576	59	65762	235	635
2710	880	80	103764	221	960
2740	1510	124	162772	200	1635
2771	0	0	0	257	0
2802	0	0	0	251	0
2830	1852	115	210841	185	1967
2861	1901	153	207371	190	2054
2891	1271	136	155559	217	1407
2922	1729	169	191292	204	1899
2952	1834	201	205613	200	2035
2983	1575	175	176071	206	1750
3014	1680	203	205411	199	1883
3044	1697	220	210939	199	1918
3075	1759	242	208463	206	2000
3105	1802	245	190724	205	2047
3136	1723	251	192159	200	1974
3167	1718	250	199418	202	1967
3195	1754	252	201374	195	2006
3226	1678	283	196082	207	1961
3256	1660	256	194194	211	1916
3287	0	0	0	275	0
3317	0	0	0	275	0
3348	1783	177	196975	204	1960
3379	1788	233	201405	203	2021
3409	1699	254	193070	208	1954
3440	1800	288	201633	202	2088
3470	1667	281	197111	203	1948
3501	1744	310	198710	217	2054
3532	1667	323	194463	208	1989
3560	1725	319	185973	209	2044
3591	1700	338	188254	215	2038
3621	1610	347	187944	210	1957
3652	1658	362	173444	216	2020
3682	1617	434	174621	226	2051
3713	1494	460	178634	218	1954
3744	1585	436	182197	218	2021
3774	1621	423	174241	213	2044
3805	1567	468	168144	227	2035
3835	1597	456	173531	228	2053
3866	1486	523	162176	231	2009
3897	1488	494	161964	223	1983
3926	1501	566	159615	229	2067
3957	1491	568	156004	237	2059
3987	1354	579	156411	230	1933
4018	1395	651	152231	228	2046
