days	QO	QW	QG	BHP	LiquidRate
365	0	0	0	299	0
395	2077	0	219934	255	2077
426	1961	31	227062	245	1992
457	1995	71	213648	234	2065
487	1981	93	217606	223	2074
518	1855	132	208563	216	1987
548	0	0	0	262	0
579	0	0	0	255	0
610	0	0	0	263	0
638	0	0	0	266	0
669	1915	137	213120	212	2052
699	1850	157	198338	202	2007
730	1834	186	206237	200	2019
760	1843	195	207798	194	2038
791	1812	207	210583	194	2018
822	1548	206	182049	195	1753
852	1456	172	153521	188	1629
883	1250	166	137973	186	1416
913	1131	138	118727	184	1270
944	1056	141	110566	197	1197
975	927	116	103238	191	1043
1004	823	117	91371	192	940
1035	793	100	89151	185	894
1065	834	102	84109	196	936
1096	747	101	78179	189	849
1126	739	93	83423	198	832
1157	732	80	75302	195	812
1188	688	81	70928	188	770
1218	641	80	66313	187	721
1249	614	80	70905	191	695
1279	566	68	71501	189	635
1310	555	72	59928	190	627
1341	546	68	64640	193	614
1369	533	62	58951	192	595
1400	536	73	62476	183	609
1430	539	65	58174	184	603
1461	502	71	53392	183	574
1491	0	0	0	207	0
1522	0	0	0	204	0
1553	0	0	0	202	0
1583	0	0	0	209	0
1614	0	0	0	199	0
1644	0	0	0	201	0
1675	0	0	0	209	0
1706	0	0	0	208	0
1734	0	0	0	199	0
1765	0	0	0	195	0
1795	0	0	0	207	0
1826	0	0	0	205	0
1856	0	0	0	196	0
1887	0	0	0	208	0
1918	618	42	67912	187	660
1948	601	51	63350	188	652
1979	521	52	60027	191	573
2009	517	56	55390	190	573
2040	503	55	58751	184	559
2071	524	56	57434	187	580
2099	533	62	55949	187	594
2130	567	67	57276	191	634
2160	525	75	63367	191	600
2191	571	71	60269	187	642
2221	639	80	63801	186	719
2252	732	92	81585	193	824
2283	1073	124	119700	191	1197
2313	1400	156	151254	187	1556
2344	1515	187	168022	195	1702
2374	1617	208	199976	196	1825
2405	1736	225	202675	184	1962
2436	1799	218	194462	196	2016
2465	1806	228	196478	188	2034
2496	1496	212	173097	204	1708
2526	883	132	99547	219	1016
2557	573	84	69784	224	658
2587	469	67	54668	231	536
2618	313	41	33665	228	354
2649	405	51	41303	221	455
2679	426	58	47092	229	484
2710	0	0	0	235	0
2740	0	0	0	228	0
2771	1597	158	189094	190	1755
2802	1691	221	192145	202	1911
2830	1753	221	200421	198	1974
2861	1271	168	137400	205	1438
2891	1029	137	109233	219	1166
2922	1461	200	166693	207	1661
2952	1434	222	161567	186	1656
2983	1238	178	140994	206	1415
3014	1512	209	171865	204	1722
3044	1598	225	182080	195	1823
3075	1741	228	195412	197	1969
3105	1805	250	203133	208	2054
3136	1747	232	188816	208	1979
3167	1806	242	201120	203	2048
3195	1682	260	187188	210	1942
3226	1683	250	190682	206	1934
3256	1732	262	185875	208	1994
3287	0	0	0	259	0
3317	0	0	0	265	0
3348	1619	245	170006	215	1865
3379	1633	363	186828	211	1995
3409	1384	443	148824	219	1827
3440	1119	473	131931	215	1592
3470	1047	464	113754	223	1511
3501	1010	485	109314	226	1494
3532	1141	625	122030	213	1765
3560	858	516	101880	230	1374
3591	809	580	87764	234	1389
3621	782	544	87352	234	1326
3652	733	602	87764	237	1335
3682	726	568	73792	234	1294
3713	608	539	75959	237	1147
3744	867	764	94343	228	1631
3774	821	860	96227	234	1681
3805	569	674	65255	247	1244
3835	486	595	56585	258	1081
3866	499	634	59983	253	1134
3897	432	590	49067	260	1022
3926	510	695	56860	259	1205
3957	485	670	55468	270	1155
3987	401	567	43168	272	967
4018	400	612	41644	267	1013
