days	QO	QW	QG	BHP	LiquidRate
273	0	0	0	308	0
304	1937	0	236458	204	1937
334	0	0	0	293	0
365	0	0	0	298	0
395	0	0	0	294	0
426	0	0	0	291	0
457	1973	0	217343	183	1973
487	1732	0	184814	197	1732
518	1526	0	169862	186	1526
548	0	0	0	256	0
579	0	0	0	257	0
610	0	0	0	261	0
638	0	0	0	266	0
669	1406	2	165994	187	1408
699	1161	6	140018	195	1167
730	1086	5	113106	187	1090
760	909	5	104807	188	914
791	813	4	96714	191	817
822	789	4	86847	189	794
852	703	4	78150	192	707
883	642	3	71753	185	645
913	613	3	62936	190	616
944	573	2	61677	189	575
975	509	2	53097	197	511
1004	473	2	49785	191	474
1035	466	2	48424	187	467
1065	407	2	46161	189	408
1096	389	1	44936	188	391
1126	355	1	38479	184	357
1157	336	1	38786	197	337
1188	367	1	38300	186	368
1218	349	1	36209	188	349
1249	330	1	37146	192	331
1279	326	1	33334	196	327
1310	320	1	34549	185	321
1341	318	1	31537	184	319
1369	271	1	31843	185	272
1400	298	1	30496	188	299
1430	297	1	30552	189	298
1461	290	1	31444	191	291
1491	0	0	0	208	0
1522	0	0	0	206	0
1553	0	0	0	204	0
1583	0	0	0	197	0
1614	0	0	0	200	0
1644	0	0	0	201	0
1675	0	0	0	204	0
1706	0	0	0	198	0
1734	0	0	0	198	0
1765	0	0	0	205	0
1795	0	0	0	213	0
1826	0	0	0	200	0
1856	0	0	0	209	0
1887	0	0	0	200	0
1918	0	0	0	202	0
1948	313	0	36291	191	313
1979	258	0	28278	193	258
2009	263	0	27569	196	263
2040	280	0	29261	187	280
2071	294	0	30086	192	294
2099	304	0	35432	188	304
2130	366	1	40519	184	367
2160	452	1	52209	197	454
2191	503	1	57544	192	504
2221	624	1	68521	197	625
2252	737	1	82438	188	737
2283	857	1	92322	194	858
2313	865	1	107651	197	866
2344	1019	1	114777	184	1020
2374	1033	1	113090	185	1034
2405	1026	1	124197	190	1027
2436	1164	1	123502	190	1165
2465	1126	1	130908	188	1127
2496	1197	1	128859	184	1198
2526	1204	0	133876	188	1204
2557	1178	0	132661	192	1178
2587	1108	0	122363	185	1109
2618	1180	0	133966	184	1181
2649	1247	0	139661	189	1248
2679	1238	0	150061	186	1239
2710	1351	0	148663	195	1351
2740	1289	0	143545	182	1289
2771	1277	0	156170	196	1278
2802	1264	0	142799	194	1265
2830	1277	0	147707	195	1277
2861	1322	0	154826	182	1322
2891	1343	0	149213	194	1343
2922	1425	0	160397	190	1426
2952	1503	0	164303	192	1503
2983	1437	0	162458	185	1437
3014	1466	0	153466	194	1466
3044	1520	0	159815	186	1520
3075	1504	0	159119	184	1504
3105	1475	0	172249	184	1475
3136	1445	0	163915	186	1445
3167	1524	0	178917	198	1524
3195	1480	1	170471	190	1481
3226	1495	7	163743	182	1502
3256	1438	9	164412	183	1447
3287	0	0	0	282	0
3317	0	0	0	283	0
3348	1516	10	169295	186	1527
3379	1314	22	143669	191	1336
3409	1359	26	141091	184	1385
3440	1302	32	154268	185	1334
3470	1268	40	140553	197	1308
3501	1211	42	141289	190	1253
3532	1214	52	149257	190	1266
3560	1280	52	147995	194	1331
3591	1247	61	143899	187	1308
3621	1256	56	149789	190	1312
3652	1350	66	143086	198	1416
3682	1273	67	142398	193	1339
3713	1274	68	151554	187	1342
3744	1329	78	151268	194	1407
3774	1309	83	149277	192	1392
3805	1323	95	140624	195	1418
3835	1220	100	145766	184	1320
3866	1222	119	146135	195	1341
3897	1296	120	147172	192	1416
3926	1237	134	145592	196	1372
3957	1337	150	152452	192	1487
3987	1337	144	154606	183	1481
4018	1258	148	144064	190	1405
