days	QO	QW	QG	BHP	LiquidRate
2526	0	0	0	247	0
2557	2036	0	214050	225	2036
2587	2020	0	225460	232	2020
2618	2030	0	224565	219	2030
2649	1954	0	237325	232	1954
2679	2044	0	231214	226	2044
2710	2030	6	213835	226	2036
2740	1964	98	212023	231	2062
2771	1732	182	196185	228	1914
2802	1496	244	172592	223	1740
2830	0	0	0	258	0
2861	0	0	0	260	0
2891	1010	145	121693	237	1156
2922	826	196	91336	235	1022
2952	841	220	87683	224	1061
2983	617	213	77749	232	829
3014	618	205	74318	242	822
3044	628	239	67105	244	867
3075	582	253	66558	248	835
3105	625	259	67645	254	884
3136	562	283	67018	248	846
3167	523	268	63564	255	791
3195	559	289	56925	251	848
3226	500	293	58695	255	794
3256	503	298	59353	249	801
3287	0	0	0	261	0
3317	0	0	0	267	0
3348	579	268	71205	252	847
3379	598	390	72756	250	987
3409	597	431	69868	256	1028
3440	675	502	72147	255	1177
3470	694	491	75032	254	1185
3501	674	524	80736	257	1199
3532	0	0	0	275	0
3560	776	564	92976	258	1340
3591	693	585	78473	266	1279
3621	702	624	75606	273	1326
3652	694	646	83824	266	1340
3682	693	658	81354	266	1352
3713	700	621	77593	270	1320
3744	860	820	96806	261	1679
3774	787	878	85633	264	1664
3805	671	740	69082	270	1411
3835	558	722	64605	281	1281
3866	625	747	70075	286	1371
3897	566	760	57567	282	1326
3926	550	837	64689	287	1387
3957	514	802	64400	280	1315
3987	493	778	53675	291	1272
4018	508	792	51844	292	1300
