days	QO	QW	QG	BHP	LiquidRate
2557	0	0	0	309	0
2587	1366	0	152648	196	1366
2618	1268	0	133971	182	1268
2649	1192	0	128702	189	1192
2679	1145	0	138728	190	1145
2710	1163	0	139979	196	1163
2740	1201	0	141623	189	1201
2771	1127	0	140945	196	1127
2802	1214	0	126764	183	1214
2830	1120	0	129555	194	1120
2861	1091	0	125288	194	1091
2891	1109	0	127733	198	1109
2922	1075	0	126188	183	1075
2952	1116	0	121370	185	1116
2983	1058	0	123360	196	1058
3014	1033	0	123281	198	1033
3044	1127	0	116574	183	1127
3075	1014	0	115042	193	1014
3105	971	0	123400	197	971
3136	1063	0	117404	187	1063
3167	1018	0	115116	194	1018
3195	1015	6	113821	193	1021
3226	906	15	106988	184	921
3256	891	24	113446	185	915
3287	0	0	0	287	0
3317	0	0	0	286	0
3348	1060	19	122932	186	1079
3379	964	29	101453	193	993
3409	912	39	96395	196	951
3440	881	54	94629	187	934
3470	813	71	89798	182	883
3501	772	87	86028	196	860
3532	719	95	84578	187	814
3560	654	105	82555	182	759
3591	654	117	80244	182	771
3621	643	129	71280	195	772
3652	596	156	67349	192	753
3682	605	161	66884	193	765
3713	0	0	0	294	0
3744	0	0	0	301	0
3774	675	201	79896	184	875
3805	563	225	70669	193	788
3835	616	241	68705	190	857
3866	552	255	63869	183	807
3897	519	258	57833	195	777
3926	516	270	58107	182	786
3957	508	283	63847	187	790
3987	526	300	61915	183	826
4018	510	296	61121	185	806
