days	QO	QW	QG	BHP	LiquidRate
183	0	0	0	319	0
214	1384	0	168987	196	1384
245	1269	0	137358	196	1269
273	1192	0	140814	185	1192
304	1203	0	128535	188	1203
334	1215	0	126624	186	1215
365	1080	0	120882	183	1080
395	1027	0	120987	187	1027
426	1000	0	115603	187	1000
457	919	0	106738	197	919
487	845	0	98381	194	845
518	816	0	95651	190	816
548	0	0	0	256	0
579	0	0	0	253	0
610	0	0	0	260	0
638	0	0	0	253	0
669	872	0	96612	191	872
699	670	0	76428	189	670
730	604	0	62884	192	604
760	571	0	64616	193	571
791	458	0	57635	192	458
822	415	0	47666	188	415
852	357	0	45499	188	357
883	352	0	38833	194	352
913	285	0	34436	186	285
944	305	0	31245	186	305
975	260	0	28584	187	260
1004	247	0	25969	193	247
1035	216	0	23643	193	216
1065	200	0	22399	195	200
1096	208	0	22693	194	208
1126	171	0	20935	189	171
1157	163	0	18677	185	163
1188	174	0	18735	189	174
1218	153	0	17427	189	153
1249	162	0	17868	192	162
1279	139	0	15789	184	139
1310	140	0	14622	195	140
1341	0	0	0	198	0
1369	0	0	0	194	0
1400	138	0	15667	189	138
1430	136	0	15061	191	136
1461	121	0	13787	192	121
1491	0	0	0	207	0
1522	0	0	0	194	0
1553	0	0	0	200	0
1583	0	0	0	192	0
1614	0	0	0	198	0
1644	0	0	0	196	0
1675	0	0	0	206	0
1706	0	0	0	195	0
1734	0	0	0	196	0
1765	0	0	0	198	0
1795	0	0	0	199	0
1826	0	0	0	201	0
1856	0	0	0	199	0
1887	0	0	0	207	0
1918	0	0	0	198	0
1948	0	0	0	208	0
1979	131	0	14797	191	131
2009	130	0	13172	190	130
2040	124	0	13590	195	124
2071	121	0	13269	194	121
2099	119	0	12366	193	119
2130	127	0	13534	196	127
2160	135	0	13702	182	135
2191	150	0	15835	185	150
2221	184	0	21645	193	184
2252	215	0	22911	182	215
2283	298	0	31263	184	298
2313	474	0	47994	191	474
2344	532	0	65837	183	532
2374	638	0	64271	183	638
2405	696	0	70760	188	696
2436	715	0	83576	193	715
2465	732	0	82549	189	732
2496	757	0	80438	189	757
2526	771	0	88886	183	771
2557	750	0	91837	190	750
2587	834	0	93666	193	834
2618	768	0	89109	185	768
2649	825	0	99051	182	825
2679	796	0	92866	191	796
2710	762	0	84445	188	762
2740	744	22	84392	194	766
2771	654	45	79604	190	699
2802	662	63	77570	196	726
2830	680	81	73585	183	761
2861	639	85	75865	189	724
2891	662	97	76637	191	759
2922	644	124	76572	186	769
2952	576	126	69947	196	702
2983	564	142	62659	184	706
3014	616	165	63965	183	781
3044	663	163	75664	192	827
3075	649	165	75030	187	814
3105	699	193	79437	196	891
3136	656	189	76582	186	845
3167	636	211	70670	189	847
3195	646	225	76497	188	871
3226	625	217	75850	195	842
3256	619	219	70928	198	838
3287	0	0	0	266	0
3317	0	0	0	264	0
3348	0	0	0	266	0
3379	0	0	0	270	0
3409	0	0	0	263	0
3440	0	0	0	271	0
3470	0	0	0	276	0
3501	0	0	0	271	0
3532	0	0	0	278	0
3560	0	0	0	285	0
3591	0	0	0	286	0
3621	0	0	0	279	0
3652	0	0	0	290	0
3682	0	0	0	283	0
3713	748	453	87916	190	1201
3744	724	368	83947	196	1092
3774	775	337	85053	188	1111
3805	740	330	83810	195	1069
3835	789	357	97346	184	1146
3866	863	355	95911	195	1218
3897	906	345	92605	186	1252
3926	902	332	98881	198	1234
3957	882	344	101194	187	1225
3987	894	289	92105	196	1183
4018	833	311	103134	195	1143
